Pøehled operací pro portfolio"základní OÚ: xxxxx"
Vytvoøeno: 20.02.2026 18:22:21
Období: 1.1.2025 - 31.12.2025













Datum obchodu;Smìr;Symbol;Cena;Poèet;Mìna;Objem v CZK;Poplatky v CZK;Objem v USD;Poplatky v USD;Objem v EUR;Poplatky v EUR;Text FIO;
10.02.2025 09:47;Nákup;P911;55,74;24,00;EUR;;;;;-1 347,71;9,95;Nákup;
06.02.2025 10:42;Nákup;VOW3;93,76;17,00;EUR;;;;;-1 603,87;9,95;Nákup;
06.02.2025 00:00;;BTI;1,00;-2,68;USD;;;-2,68;0,00;;;BTI - ADR Fee;
06.02.2025 00:00;;BTI;1,00;195,76;USD;;;195,76;0,00;;;BTI - Dividenda - USA;
03.02.2025 00:00;;CVS;1,00;-5,19;USD;;;-5,19;0,00;;;CVS - Daò z divid. zaplacená v USA;
03.02.2025 00:00;;CVS;1,00;34,58;USD;;;34,58;0,00;;;CVS - Dividenda - USA;
23.01.2025 13:39;Nákup;P911;59,50;23,00;EUR;;;;;-1 378,45;9,95;Nákup;
21.01.2025 18:03;Pøevod mezi mìnami;USD;0,93376;125,00;EUR;;;;;116,72;0,00;Prodej;
15.01.2025 00:00;;O;1,00;-15,68;USD;;;-15,68;0,00;;;O - Daò z divid. zaplacená v USA;
15.01.2025 00:00;;O;1,00;104,54;USD;;;104,54;0,00;;;O - Dividenda - USA;
08.01.2025 00:00;;NIO;1,00;-4,40;USD;;;-4,40;0,00;;;NIO - ADR Fee;
;;Souèet;;;;59,48;481,81;-1 611,85;237,49;-478,56;109,45;;

